id,name,dateStart,dateEnd,type,questionQty
1832,Бакинская жемчужина,2013-07-13T00:00:00+04:00,2013-07-13T00:00:00+04:00,"{'id': 4, 'name': 'Региональный'}","{'1': 15, '2': 15, '3': 15, '4': 15}"
2049,Город героев,2012-09-22T00:00:00+04:00,2012-09-23T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15}"
2050,Малая Земля,2012-09-30T00:00:00+04:00,2012-09-30T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15}"
2077,Открытый кубок России,2012-12-01T00:00:00+04:00,2012-12-03T00:00:00+04:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12, '4': 12}"
2085,Кубок Тель-Авива,2012-11-04T00:00:00+04:00,2012-11-04T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
2086,Чемпионат мира. Отборочный турнир,2012-09-08T00:00:00+04:00,2012-09-08T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15}"
2087,Кубок Ломоносова,2012-11-04T00:00:00+04:00,2012-11-05T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15}"
2088,Самариум,2012-11-10T00:00:00+04:00,2012-11-11T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 24, '2': 24, '3': 24}"
2089,Чемпионат Львовской области,2012-09-29T00:00:00+04:00,2013-05-25T00:00:00+04:00,"{'id': 4, 'name': 'Региональный'}","{'1': 0, '0': 0}"
2113,Северная Сова,2012-10-12T00:00:00+04:00,2012-10-14T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15}"
2116,Кубок Губернатора Тверской области,2012-09-29T00:00:00+04:00,2012-09-30T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15}"
2117,Чемпионат России,2013-04-13T00:00:00+04:00,2013-04-14T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15, '7': 15}"
2136,Открытый чемпионат Смоленска,2012-09-15T00:00:00+04:00,2012-09-16T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12, '5': 12, '6': 12}"
2138,Осенний Ёж,2012-09-22T00:00:00+04:00,2012-09-22T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
2147,В четыре руки,2012-12-08T00:00:00+04:00,2012-12-09T00:00:00+04:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 13, '2': 13, '3': 13}"
2148,Чемпионат Украины. Первый этап,2012-12-08T00:00:00+04:00,2012-12-08T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
2149,Чемпионат Украины. Предварительный этап,2012-09-22T00:00:00+04:00,2012-09-22T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
2150,Олимпийский кубок ЛУК,2012-10-20T00:00:00+04:00,2012-10-21T00:00:00+04:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
2151,Балтийский берег,2012-10-05T00:00:00+04:00,2013-05-12T00:00:00+04:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12, '4': 12, '5': 12, '6': 12, '7': 12, '8': 12, '9': 12, '10': 12, '11': 12, '12': 12, '13': 12, '14': 12, '15': 12, '16': 12, '17': 12, '18': 12}"
